id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
qld_victim_support_0000,1300 MH CALL,"1300 MH CALL is our confidential mental health triage service providing advice and information to Queenslanders experiencing a mental health emergency or crisis. If needed, you can be triaged directly to a Queensland public mental health service or acute care team.",other,,,QLD,,,,1300 642 255,,https://www.qld.gov.au/health/mental-health-and-wellbeing/how-to-get-help/1300-mh-call,,,Free,qld_victim_support,List of Victim Support Services,QLD Justice,QLD,CC-BY-3.0,https://www.data.qld.gov.au/dataset/list-of-victim-support-services,2026-04-19,partial
qld_victim_support_0001,13YARN,"13YARN provides confidential crisis support for Aboriginal and Torres Strait Islander people living anywhere in Australia. This is a no shame, no judgement, safe place to yarn with experienced Aboriginal or Torres Strait Islander workers.",other,,,QLD,,,,13 9276,,https://www.13yarn.org.au/,,Aboriginal people and Torres Strait Islander people,Free,qld_victim_support,List of Victim Support Services,QLD Justice,QLD,CC-BY-3.0,https://www.data.qld.gov.au/dataset/list-of-victim-support-services,2026-04-19,partial
qld_victim_support_0002,1800ELDERHelp,"1800 ELDERHelp (1800 353 374) is a free call phone number that automatically redirects callers seeking information and advice on elder abuse with the phone service in their state or territory. Elder abuse phone lines are not crisis support services, and operating hours and services vary across states and territories.",other,,,QLD,,,,1800 353 374,,https://www.health.gov.au/contacts/elder-abuse-phone-line,,Over 60s,Free,qld_victim_support,List of Victim Support Services,QLD Justice,QLD,CC-BY-3.0,https://www.data.qld.gov.au/dataset/list-of-victim-support-services,2026-04-19,partial
qld_victim_support_0003,1800RESPECT,"1800RESPECT is the national 24/7 sexual assault, domestic and family violence counselling service for people experiencing, or at risk of experiencing violence, their friends and family, colleagues and employers.",other,,,QLD,,,,1800 737 732,,https://www.1800respect.org.au,,,Free,qld_victim_support,List of Victim Support Services,QLD Justice,QLD,CC-BY-3.0,https://www.data.qld.gov.au/dataset/list-of-victim-support-services,2026-04-19,partial
qld_victim_support_0004,54 Reasons SHIELD program,This service can help you apply for financial assistance through Victim Assist. 54 Reasons provides trauma-informed support for young and adult males in Queensland who are victims of sexual violence.,other,,,QLD,,,,1800 874 996,,https://www.54reasons.org.au/services/shield,,,Free,qld_victim_support,List of Victim Support Services,QLD Justice,QLD,CC-BY-3.0,https://www.data.qld.gov.au/dataset/list-of-victim-support-services,2026-04-19,partial
qld_victim_support_0005,Aboriginal and Torres Strait Islander Family Wellbeing Services,"Aboriginal and Torres Strait Islander Family Wellbeing Services provide a free and confidential one stop shop for Aboriginal and Torres Strait Islander families across Queensland. They provide support to improve your social, emotional, physical and spiritual wellbeing, and help you be able to safely care for and protect your children.",other,,,QLD,,,,1300 117 095,,https://www.familywellbeingqld.org.au/,,Aboriginal people and Torres Strait Islander people,Free,qld_victim_support,List of Victim Support Services,QLD Justice,QLD,CC-BY-3.0,https://www.data.qld.gov.au/dataset/list-of-victim-support-services,2026-04-19,partial
qld_victim_support_0006,Acquired Brain Injury Outreach Service (ABIOS),A local support service for people with an acquired brain injury living in the Greater Brisbane area.,other,,,QLD,,,,+61 7 3176 9506,,https://www.health.qld.gov.au/abios,,People with a disability,Free,qld_victim_support,List of Victim Support Services,QLD Justice,QLD,CC-BY-3.0,https://www.data.qld.gov.au/dataset/list-of-victim-support-services,2026-04-19,partial
qld_victim_support_0007,Act for Kids,"A national service providing therapy and support services to children and families who have experienced, or are at risk of harm.",other,,,QLD,,,,+61 7 4847 0550,,https://actforkids.com.au/,,Children and young people,Free,qld_victim_support,List of Victim Support Services,QLD Justice,QLD,CC-BY-3.0,https://www.data.qld.gov.au/dataset/list-of-victim-support-services,2026-04-19,partial
qld_victim_support_0008,Anglicare North Queensland,"Anglicare NQ provides a wide range of local services to support young people across North Queensland area. Services include youth support programs, case management, outreach, emergency accommodation, and non-family-based residential care.",other,,,QLD,,,,+61 7 4041 5454,,https://anglicarenq.org.au/,,Children and young people,Free,qld_victim_support,List of Victim Support Services,QLD Justice,QLD,CC-BY-3.0,https://www.data.qld.gov.au/dataset/list-of-victim-support-services,2026-04-19,partial
qld_victim_support_0009,Beyond Blue,Beyond Blue can provide support if you or a loved one need help with anxiety or depression.,other,,,QLD,,,,1300 224 636,,https://www.beyondblue.org.au/,,,Free,qld_victim_support,List of Victim Support Services,QLD Justice,QLD,CC-BY-3.0,https://www.data.qld.gov.au/dataset/list-of-victim-support-services,2026-04-19,partial
