id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date
qld_housing_finder_0000,Bond Loans,A Bond Loan is an interest-free loan to cover the rental bond when moving into private rental accommodation.,housing,,,QLD,,,,,,https://blarga.hpw.qld.gov.au/,,,Free,qld_housing_finder,Housing Service Finder,QLD Housing,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/housing-service-finder,2026-04-13
qld_housing_finder_0001,Public and community housing,Public and community housing is available to assist vulnerable people who are assessed as having the greatest need.,housing,,,QLD,,,,,,https://www.qld.gov.au/housing/public-community-housing/apply-for-housing,,,Free,qld_housing_finder,Housing Service Finder,QLD Housing,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/housing-service-finder,2026-04-13
qld_housing_finder_0002,RentConnect,Get help finding and applying for a rental (RentConnect),housing,,,QLD,,,,,,https://www.qld.gov.au/housing/renting/help-to-find-a-rental-home/help-to-find-a-rental-home-rentconnect,,,Free,qld_housing_finder,Housing Service Finder,QLD Housing,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/housing-service-finder,2026-04-13
qld_housing_finder_0003,RentConnect,Get help staying in your rental (RentConnect),housing,,,QLD,,,,,,https://www.qld.gov.au/housing/renting/help-with-your-current-rental-home/help-to-stay-in-your-rental-rentconnect,,,Free,qld_housing_finder,Housing Service Finder,QLD Housing,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/housing-service-finder,2026-04-13
qld_housing_finder_0004,Rental Grants,A Rental Grant is a one-off grant of 2 weeks rent to help you move into private rental accommodation. A Rental Grant is for people in a housing crisis. This grant does not have to be repaid.,housing,,,QLD,,,,,,https://blarga.hpw.qld.gov.au/,,,Free,qld_housing_finder,Housing Service Finder,QLD Housing,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/housing-service-finder,2026-04-13
qld_housing_finder_0005,Queensland Housing Finance Loan,The Queensland Housing Finance Loan helps people who can afford to buy or build a home but cannot get private finance from a bank or building society.,housing,,,QLD,,,,,,https://www.qld.gov.au/housing/buying-owning-home/home-buyers-financial-help/government-home-loans/low-deposit-home-loan,,,Free,qld_housing_finder,Housing Service Finder,QLD Housing,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/housing-service-finder,2026-04-13
qld_housing_finder_0006,Queensland State Housing Loan,The Queensland State Housing Loan allows some public housing tenants to purchase their rental property.,housing,,,QLD,,,,,,https://www.qld.gov.au/housing/public-community-housing/public-housing-tenants/buying-your-home/loan-to-buy,,,Free,qld_housing_finder,Housing Service Finder,QLD Housing,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/housing-service-finder,2026-04-13
qld_housing_finder_0007,Queensland first home owner grant,The Queensland first home owner grant helps eligible first-time home buyers to build or buy a new home or a [substantially renovated home](https://qro.qld.gov.au/property-concessions-grants/first-home-grant/eligibility/#substantial-renovation).,housing,,,QLD,,,,,,https://www.qld.gov.au/housing/buying-owning-home/home-buyers-financial-help,,,Free,qld_housing_finder,Housing Service Finder,QLD Housing,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/housing-service-finder,2026-04-13
qld_housing_finder_0008,Mortgage Relief Loan,The Mortgage Relief Loan helps people pay their mortgage during short term periods of illness or unemployment.,housing,,,QLD,,,,,,https://www.qld.gov.au/housing/buying-owning-home/home-owners-financial-help/mortgage-relief-loan,,,Free,qld_housing_finder,Housing Service Finder,QLD Housing,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/housing-service-finder,2026-04-13
qld_housing_finder_0009,Queensland Community Support Scheme,The Queensland Community Support Scheme (QCSS) can help you to continue living safely in your home and actively participate in your community.,housing,,,QLD,,,,,,https://www.qld.gov.au/housing/buying-owning-home/home-owners-financial-help/mortgage-relief-loan,,,Free,qld_housing_finder,Housing Service Finder,QLD Housing,QLD,CC-BY-4.0,https://www.data.qld.gov.au/dataset/housing-service-finder,2026-04-13
