id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date
vic_melbourne_helping_out_0000,Salvation Army - Crisis Services - Crisis Contact Centre,"Homelessness support, Accommodation placement and/or support, Crisis/emergency accommodation, Housing information/referral, Financial assistance, Support",housing,,ST KILDA,VIC,,-37.860682,144.977933,,,http://www.salvationarmy.org.au/crisisservices,"Mon: 9am-11pm (face to face), Phone 24 hours; Tue: 9am-11pm (face to face), Phone 24 hours; Wed: 9am-11pm (face to face), Phone 24 hours; Thu: 9am-11pm (face to face), Phone 24 hours; Fri: 9am-11pm (face to face), Phone 24 hours; Sat: Phone 24 hours; Sun: Phone 24 hours",,,vic_melbourne_helping_out,Free and Cheap Support Services (Helping Out),City of Melbourne,VIC,CC-BY-4.0,https://discover.data.vic.gov.au/dataset/free-and-cheap-support-services-with-opening-hours-public-transport-and-parking-options-helping,2026-04-12
vic_melbourne_helping_out_0001,Utility Relief Grant and Non-Mains Utility Relief Grant schemes,The Utility Relief Grant Scheme and the Non-Mains Utility Relief Grant Scheme provide assistance for domestic customers who are unable to pay their utility bills due to a temporary financial crisis.,other,,,VIC,,,,,,www.dhs.vic.gov.au/for-individuals/financial-support/concessions/hardship/utility-relief-and-non-mains-utility-grant-scheme,,,,vic_melbourne_helping_out,Free and Cheap Support Services (Helping Out),City of Melbourne,VIC,CC-BY-4.0,https://discover.data.vic.gov.au/dataset/free-and-cheap-support-services-with-opening-hours-public-transport-and-parking-options-helping,2026-04-12
vic_melbourne_helping_out_0002,Child Protection Emergency Service,,other,,,VIC,,,,13 12 78,,"dhs.vic.gov.au/for-individuals/children,-families-and-young-people/child-protection",,,,vic_melbourne_helping_out,Free and Cheap Support Services (Helping Out),City of Melbourne,VIC,CC-BY-4.0,https://discover.data.vic.gov.au/dataset/free-and-cheap-support-services-with-opening-hours-public-transport-and-parking-options-helping,2026-04-12
vic_melbourne_helping_out_0003,Narcotics Anonymous - Victorian Area Helpline,,other,,,VIC,,,,9525 2833,info@navic.net.au,navic.net.au,,,,vic_melbourne_helping_out,Free and Cheap Support Services (Helping Out),City of Melbourne,VIC,CC-BY-4.0,https://discover.data.vic.gov.au/dataset/free-and-cheap-support-services-with-opening-hours-public-transport-and-parking-options-helping,2026-04-12
vic_melbourne_helping_out_0004,Anglicare Victoria – St.Mark’s Community Centre,"St Mark’s provides assistance to homeless people. Drop-in centre Monday to Friday. Bread, fruit, vegetables, weekly food parcels are available. Lunch, Tea and Coffee facilities, Showers, Washing machines and dryers, Toiletries, Public telephones, Advice and referral. St Mark’s will provide up to five PBS prescriptions per month for homeless people through the co-payment prescription scheme. (Not Methadone / Buprenorphine).",food,,Fitzroy,VIC,,-37.801611,144.981835,9419 3288,,anglicarevic.org.au,"Mon: 11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels); Tue: 11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels); Wed: 11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels); Thu: 11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels); Fri: 11.30am to 3.00pm (Drop in Centre), 12.00Noon to 3.00pm (Food Parcels)",,,vic_melbourne_helping_out,Free and Cheap Support Services (Helping Out),City of Melbourne,VIC,CC-BY-4.0,https://discover.data.vic.gov.au/dataset/free-and-cheap-support-services-with-opening-hours-public-transport-and-parking-options-helping,2026-04-12
vic_melbourne_helping_out_0005,CASA House Centre Against Sexual Assault,"counselling, advocacy, health services, legal advice The crisis-care unit at the Royal Women’s Hospital is available for recent assault victims.",mental_health,3rd Floor Queen Victoria Women’s Centre,Melbourne,VIC,,-37.810904,144.965833,9635 3600,casa@thewomens.org.au,casahouse.com.au,Mon: 9.00am - 5.00pm; Tue: 9.00am - 5.00pm; Wed: 9.00am - 5.00pm; Thu: 9.00am - 5.00pm; Fri: 9.00am - 5.00pm,,,vic_melbourne_helping_out,Free and Cheap Support Services (Helping Out),City of Melbourne,VIC,CC-BY-4.0,https://discover.data.vic.gov.au/dataset/free-and-cheap-support-services-with-opening-hours-public-transport-and-parking-options-helping,2026-04-12
vic_melbourne_helping_out_0006,COHEALTH,"Provides a broad range of health and welfare services Drop-in Clinic for homeless people every Monday from 9am -12 noon. Services include physiotherapy, podiatry, occupational therapy, dietetics, and nursing. Aboriginal engagement worker available, café meals program for homeless people, drop-in social work/counselling sessions, showers, needle and syringe program dental services for homeless people and for people with drug and/or alcohol issues – phone dental reception: 9411 3505",health,,Fitzroy,VIC,,-37.805149,144.97697,9411 3555,,cohealth.org.au,Mon: 9.00am - 5.30pm; Tue: 9.00am - 5.30pm; Wed: 9.00am - 5.30pm; Thu: 9.00am - 5.30pm; Fri: 9.00am - 5.30pm; Sat: 9.00am - 12.00 Noon,,,vic_melbourne_helping_out,Free and Cheap Support Services (Helping Out),City of Melbourne,VIC,CC-BY-4.0,https://discover.data.vic.gov.au/dataset/free-and-cheap-support-services-with-opening-hours-public-transport-and-parking-options-helping,2026-04-12
vic_melbourne_helping_out_0007,HomeGround Services,"initial assessment and planning for housing crisis accommodation limited financial assistance assistance with public housing applications free legal advice and assistance provided by Justice Connect. Contact Justice Connect on telephone 1800 606 313 to talk to an Intake Worker to make an appointment Not-for-profit real estate agency committed to providing landlords and tenants with a professional property management service, while reinvesting our revenue back into the community (Phone: 9288 9600)",housing,,Collingwood,VIC,,-37.804759,144.984797,9288 9611,info@homeground.org.au,homeground.org.au,Mon: 9.00am - 5.00pm; Tue: 9.00am - 5.00pm; Wed: 9.00am - 5.00pm; Thu: 9.00am - 5.00pm; Fri: 9.00am - 5.00pm,,,vic_melbourne_helping_out,Free and Cheap Support Services (Helping Out),City of Melbourne,VIC,CC-BY-4.0,https://discover.data.vic.gov.au/dataset/free-and-cheap-support-services-with-opening-hours-public-transport-and-parking-options-helping,2026-04-12
vic_melbourne_helping_out_0008,Living Room Primary Health Service,"Living Room is made up of a team of doctors/nurses and community development workers who provide a confidential ‘user friendly’ free health service. health services, referrals and information, chill out space, tea and coffee There are a number of co-located services including: Centrelink, podiatry, dieticians, dental hygienist, mental health nurses, social worker, psychologist, Hep C, liver clinic, housing services, youth response, employment agency. Drop into Hosier Lane or contact outreach workers by phone.",health,,Melbourne,VIC,,-37.816297,144.969029,9945 2100,livingroom@youthprojects.org.au,youthprojects.org.au,"Mon: 10:00am – 12:00pm, 1pm - 4pm; Tue: Mornings by appointment only, 1pm - 4pm; Wed: Mornings by appointment only, 1pm - 4pm; Thu: Mornings by appointment only, 1pm - 4pm; Fri: Mornings by appointment only, 1pm - 4pm",,,vic_melbourne_helping_out,Free and Cheap Support Services (Helping Out),City of Melbourne,VIC,CC-BY-4.0,https://discover.data.vic.gov.au/dataset/free-and-cheap-support-services-with-opening-hours-public-transport-and-parking-options-helping,2026-04-12
vic_melbourne_helping_out_0009,Melbourne Sexual Health Centre,"sexual health services, pregnancy testing, counselling, pharmacy, needle exchange, result and information line",health,,Carlton,VIC,,-37.803078,144.963837,9341 6200,,mshc.org.au,"Mon: 8.40am - 5pm; Tue: 8.40am - 5pm; Wed: 8.40am - 5pm; Thu: 8.40am - 5pm, 5.00pm - 6:30pm by appointment only; Fri: 12:30pm - 5.00pm",,,vic_melbourne_helping_out,Free and Cheap Support Services (Helping Out),City of Melbourne,VIC,CC-BY-4.0,https://discover.data.vic.gov.au/dataset/free-and-cheap-support-services-with-opening-hours-public-transport-and-parking-options-helping,2026-04-12
vic_melbourne_helping_out_0010,The Market Place,"provides practical support by way of our no cost supermarket. food, toiletries, clothing, etc. shower facilities assessment and referral service",food,,Melbourne,VIC,,-37.812515,144.971628,9653 3299,,salvationarmy.org.au/melbourne614,Mon: 9.30am – 12.00 noon; Tue: 9.30am – 12.00 noon; Wed: 9.30am – 12.00 noon; Thu: 9.30am – 12.00 noon; Fri: 9.30am – 12.00 noon,,,vic_melbourne_helping_out,Free and Cheap Support Services (Helping Out),City of Melbourne,VIC,CC-BY-4.0,https://discover.data.vic.gov.au/dataset/free-and-cheap-support-services-with-opening-hours-public-transport-and-parking-options-helping,2026-04-12
vic_melbourne_helping_out_0011,The Couch International Student Centre,links International Students to support services and provides general information provides a safe space to socialize and interact with others free meals,food,,Melbourne,VIC,,-37.812515,144.971628,9653 3299,,salvationarmy.org.au/melbourne614,Mon: 5.00pm – 9.00pm; Tue: 5.00pm – 9.00pm; Wed: 5.00pm – 9.00pm; Thu: 5.00pm – 9.00pm,,,vic_melbourne_helping_out,Free and Cheap Support Services (Helping Out),City of Melbourne,VIC,CC-BY-4.0,https://discover.data.vic.gov.au/dataset/free-and-cheap-support-services-with-opening-hours-public-transport-and-parking-options-helping,2026-04-12
vic_melbourne_helping_out_0012,Victoria Police - Melbourne East,In case of an emergency or if you require immediate assistance call Triple Zero (000),other,,Melbourne,VIC,,-37.816607,144.9665,9637 1100,MELBOURNEEAST.UNI@police.vic.gov.au,police.vic.gov.au,Mon: 24 hours; Tue: 24 hours; Wed: 24 hours; Thu: 24 hours; Fri: 24 hours; Sat: 24 hours; Sun: 24 hours,,,vic_melbourne_helping_out,Free and Cheap Support Services (Helping Out),City of Melbourne,VIC,CC-BY-4.0,https://discover.data.vic.gov.au/dataset/free-and-cheap-support-services-with-opening-hours-public-transport-and-parking-options-helping,2026-04-12
vic_melbourne_helping_out_0013,Travel-related Emergency Relief (Southern Cross Station),information and referrals subsidized travel fares in crisis situations,other,Main Concourse (located opposite the Luggage Hall) Southern Cross Station,Melbourne,VIC,,-37.818367,144.953506,9670 2873,,travellersaid.org.au,Mon: 10.30am to 4.00pm; Wed: 10.30am to 4.00pm; Fri: 10.30am to 4.00pm; Sat: 12 Noon to 4.00pm; Sun: 12 Noon to 4.00pm,,,vic_melbourne_helping_out,Free and Cheap Support Services (Helping Out),City of Melbourne,VIC,CC-BY-4.0,https://discover.data.vic.gov.au/dataset/free-and-cheap-support-services-with-opening-hours-public-transport-and-parking-options-helping,2026-04-12
